Institute,Total Strength_2021,Total Strength_2020,Total Strength_2019
Alagappa University ,3305,3073,2814
Aligarh Muslim University ,20198,18366,17781
Amity University ,36920,35132,35935
Amrita Vishwa Vidyapeetham ,21108,19224,19213
"Andhra University, Visakhapatnam ",9048,8869,8735
Anna University ,15149,14966,15205
Banaras Hindu University ,25585,24493,23250
Banasthali Vidyapith ,11686,11697,10524
Bharath Institute of Higher Education & Research ,16986,14340,11389
Bharathiar University ,2956,2902,2748
Bharathidasan University ,2645,2511,2071
Birla Institute of Technology & Science -Pilani ,13171,12229,11196
Calcutta University ,15224,14999,14747
Calicut University ,2135,2100,1967
Cochin University of Science and Technology ,2997,2864,2871
Datta Meghe Institute of Medical Sciences ,3887,3548,3300
Delhi Technological University ,9852,9032,8280
Dr. D. Y. Patil Vidyapeeth ,4422,4437,4156
Gauhati University ,5740,5666,5244
Guru Nanak Dev University ,9756,8675,8215
Homi Bhabha National Institute ,1312,1148,1066
Indian Institute of Engineering Science and Technology ,3397,3093,3068
Indian Institute of Science ,1438,1189,1322
Indian Institute of Science Education & Research Bhopal ,1194,1108,968
Indian Institute of Science Education & Research Kolkata ,937,934,926
Indian Institute of Science Education & Research Pune ,973,917,947
"Indian Institute of Science Education & Research, Mohali ",910,937,852
Indian Institute of Technology (Banaras Hindu University) Varanasi ,5546,5063,4903
Indian Institute of Technology (Indian School of Mines) ,5228,5683,5829
Indian Institute of Technology Bhubaneswar ,1836,1505,1265
Indian Institute of Technology Bombay ,7465,7202,6996
Indian Institute of Technology Delhi ,6359,5934,5309
Indian Institute of Technology Gandhinagar ,1303,1180,1085
Indian Institute of Technology Guwahati ,4339,3956,3852
Indian Institute of Technology Hyderabad ,1756,1790,1591
Indian Institute of Technology Kanpur ,5414,5409,5085
Indian Institute of Technology Kharagpur ,9351,8979,8879
Indian Institute of Technology Madras ,6609,6638,6335
Indian Institute of Technology Mandi ,1734,1277,1091
Indian Institute of Technology Patna ,1276,1082,989
Indian Institute of Technology Roorkee ,5629,5728,5765
Institute of Chemical Technology ,1853,1634,1510
JSS Academy of Higher Education and Research ,5629,5150,4894
Jadavpur University ,10985,10687,10600
Jamia Hamdard ,5646,4869,4393
Jamia Millia Islamia ,8623,8722,8650
Jawaharlal Nehru University ,4272,3496,3344
Kalinga Institute of Industrial Technology ,24710,24680,23531
Kerala University ,2123,1804,1786
King George`s Medical University ,2487,2699,2433
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,14891,14206,13224
Madurai Kamaraj University ,1444,1473,1399
Mahatma Gandhi University ,1137,1035,1095
Manipal Academy of Higher Education ,23443,22844,22455
Mysore University ,6165,6195,11465
National Institute of Technology Durgapur ,3611,3618,3889
National Institute of Technology Karnataka ,4847,4688,4620
National Institute of Technology Rourkela ,5463,4756,4797
National Institute of Technology Tiruchirappalli ,5493,5202,5106
National Institute of Technology Warangal ,5417,5010,4919
North Eastern Hill University ,3804,3758,3755
Osmania University ,7475,6845,7714
PSG College of Technology ,8235,8428,8235
Panjab University ,15953,15904,15668
Pondicherry University ,6011,6177,6301
S.R.M. Institute of Science and Technology ,48995,51108,50428
SVKM`s Narsee Monjee Institute of Management Studies ,6817,6656,6767
Sathyabama Institute of Science and Technology ,11939,12019,12624
Saveetha Institute of Medical and Technical Sciences ,9797,8962,7922
Savitribai Phule Pune University ,4427,5078,4994
Shanmugha Arts Science Technology & Research Academy ,9851,9610,13085
Shiv Nadar University ,1845,1829,2003
Siksha `O` Anusandhan ,12912,11442,9827
Sri Ramachandra Institute of Higher Education and Research ,6744,6093,5322
Sri Sivasubramaniya Nadar College of Engineering ,4102,4162,4000
Sri Venkateswara University ,6967,6690,6490
Symbiosis International ,17488,16959,14961
Tata Institute of Social Sciences ,3163,2887,2931
Tezpur University ,3475,3321,3358
Thapar Institute of Engineering and Technology ,8212,7347,7250
University of Delhi ,21615,21321,20913
University of Hyderabad ,3428,3353,3867
University of Kashmir ,8672,8124,7429
University of Madras ,3105,2857,2745
Vellore Institute of Technology ,36502,33322,30708
Visva Bharati ,7298,6497,6497
