Institute,Number of Faculties
Institute of Chemical Technology ,168
Jamia Millia Islamia ,742
Kalasalingam Academy of Research and Higher Education ,526
Sri Venkateswara University ,510
Indian Institute of Technology Guwahati ,436
Gujarat University ,381
Osmania University ,428
Indian Institute of Science Education & Research Kolkata ,127
Anna University ,1024
Indian Institute of Technology Roorkee ,574
Jamia Hamdard ,473
University of Delhi ,1060
Sardar Vallabhbhai National Institute of Technology ,314
Indian Institute of Technology Patna ,127
Amity University ,2068
Siksha `O` Anusandhan ,1393
Guru Gobind Singh Indraprastha University ,221
Indian Institute of Technology Madras ,642
Gauhati University ,380
Bharathiar University ,283
Calcutta University ,1275
Indian Institute of Science Education & Research Bhopal ,135
Malaviya National Institute of Technology ,490
University of Madras ,296
Symbiosis International ,1255
Kerala University ,286
Alagappa University ,349
JSS Academy of Higher Education and Research ,813
Bharathidasan University ,259
Indian Institute of Technology (Banaras Hindu University) Varanasi ,343
Manipal Academy of Higher Education ,2661
Indian Institute of Technology Mandi ,136
Indian Institute of Technology Kanpur ,499
Chandigarh University ,1852
National Institute of Technology Silchar ,206
"Andhra University, Visakhapatnam ",684
Delhi Technological University ,823
Tezpur University ,291
Visva Bharati ,450
Savitribai Phule Pune University ,712
Calicut University ,260
University of Hyderabad ,442
National Institute of Technology Tiruchirappalli ,413
Indian Institute of Technology Gandhinagar ,122
Indian Institute of Technology Ropar ,176
King George`s Medical University ,434
Vellore Institute of Technology ,2129
"Indian Institute of Science Education & Research, Mohali ",113
National Institute of Technology Rourkela ,388
Banaras Hindu University ,1535
Shanmugha Arts Science Technology & Research Academy ,722
Indian Institute of Technology Kharagpur ,809
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,1085
Lovely Professional University ,2129
Motilal Nehru National Institute of Technology ,283
Indian Institute of Technology Delhi ,706
Mysore University ,451
Madurai Kamaraj University ,232
Guru Nanak Dev University ,594
Panjab University ,1005
Pondicherry University ,339
Cochin University of Science and Technology ,208
National Institute of Technology Durgapur ,237
Dr. D. Y. Patil Vidyapeeth ,651
National Institute of Technology Karnataka ,440
Saveetha Institute of Medical and Technical Sciences ,876
Jadavpur University ,639
Sri Ramachandra Institute of Higher Education and Research ,747
Indian Institute of Technology Indore ,174
Mahatma Gandhi University ,135
Indian Institute of Science ,464
Sathyabama Institute of Science and Technology ,1055
Indian Institute of Technology Hyderabad ,242
University of Kashmir ,552
Mumbai University ,421
SVKM`s Narsee Monjee Institute of Management Studies ,574
Indian Institute of Science Education & Research Pune ,139
National Institute of Technology Warangal ,403
Indian Institute of Technology (Indian School of Mines) ,354
Homi Bhabha National Institute ,1074
Indian Institute of Engineering Science and Technology ,263
Dr. B. R. Ambedkar National Institute of Technology ,308
Indian Institute of Technology Bombay ,682
Jawaharlal Nehru University ,647
Sri Sivasubramaniya Nadar College of Engineering ,253
Visvesvaraya National Institute of Technology ,294
PSG College of Technology ,596
Shiv Nadar University ,243
S.R.M. Institute of Science and Technology ,3350
Banasthali Vidyapith ,661
North Eastern Hill University ,300
Tata Institute of Social Sciences ,267
Birla Institute of Technology & Science -Pilani ,785
Thapar Institute of Engineering and Technology ,555
Amrita Vishwa Vidyapeetham ,1624
Datta Meghe Institute of Medical Sciences ,537
Indian Institute of Technology Bhubaneswar ,150
Kalinga Institute of Industrial Technology ,1895
Bharath Institute of Higher Education & Research ,1338
Aligarh Muslim University ,1674
