Institute,2017-18
Symbiosis International ,159938589
SVKM`s Narsee Monjee Institute of Management Studies ,90228000
Guru Nanak Dev University ,80263540
"Andhra University, Visakhapatnam ",75481122
Indian Institute of Technology Madras ,62869852
Indian Institute of Technology Delhi ,60309589
Indian Institute of Technology Bombay ,45885826
Indian Institute of Technology Kharagpur ,41453100
University of Delhi ,35300000
Indian Institute of Technology Kanpur ,33226000
Shanmugha Arts Science Technology & Research Academy ,30144000
Amrita Vishwa Vidyapeetham ,27454035
Tata Institute of Social Sciences ,24877950
Birla Institute of Technology & Science -Pilani ,23500233
Indian Institute of Technology (Indian School of Mines) ,22552611
S.R.M. Institute of Science and Technology ,18083250
Guru Gobind Singh Indraprastha University ,17625000
Shiv Nadar University ,16812180
Amity University ,16725144
Jamia Millia Islamia ,15702260
Kalasalingam Academy of Research and Higher Education ,15164250
Bharath Institute of Higher Education & Research ,14500000
Indian Institute of Technology Hyderabad ,13440000
Savitribai Phule Pune University ,13322013
National Institute of Technology Tiruchirappalli ,12893000
National Institute of Technology Karnataka ,12433450
Datta Meghe Institute of Medical Sciences ,10800000
Lovely Professional University ,10560000
Mumbai University ,10090000
JSS Academy of Higher Education and Research ,7516550
Gujarat University ,6396000
Delhi Technological University ,6000000
Dr. D. Y. Patil Vidyapeeth ,5825000
Sri Sivasubramaniya Nadar College of Engineering ,5700635
University of Kashmir ,5600000
Kalinga Institute of Industrial Technology ,4500000
Sri Ramachandra Institute of Higher Education and Research ,4184300
Chandigarh University ,3572300
Mahatma Gandhi University ,3505000
Indian Institute of Science ,3132538
Sathyabama Institute of Science and Technology ,2550000
Jamia Hamdard ,2534000
Kerala University ,2400000
University of Madras ,2382760
Alagappa University ,2073000
Dr. B. R. Ambedkar National Institute of Technology ,1920000
Calcutta University ,1406000
Siksha `O` Anusandhan ,1350000
Banaras Hindu University ,1290000
Panjab University ,1025000
Gauhati University ,612000
Osmania University ,600000
National Institute of Technology Warangal ,500000
Tezpur University ,496675
Indian Institute of Technology Roorkee ,372063
Manipal Academy of Higher Education ,350000
Bharathiar University ,298860
Sardar Vallabhbhai National Institute of Technology ,246904
Sri Venkateswara University ,150000
Banasthali Vidyapith ,91900
Jawaharlal Nehru University ,33696
National Institute of Technology Durgapur ,32000
National Institute of Technology Rourkela ,0
Indian Institute of Technology Bhubaneswar ,0
Indian Institute of Science Education & Research Pune ,0
Pondicherry University ,0
Indian Institute of Engineering Science and Technology ,0
"Indian Institute of Science Education & Research, Mohali ",0
Indian Institute of Technology Ropar ,0
Mysore University ,0
North Eastern Hill University ,0
Madurai Kamaraj University ,0
Aligarh Muslim University ,0
Homi Bhabha National Institute ,0
Institute of Chemical Technology ,0
PSG College of Technology ,0
Visva Bharati ,0
Indian Institute of Technology Guwahati ,0
Indian Institute of Science Education & Research Kolkata ,0
Anna University ,0
Indian Institute of Technology Patna ,0
Indian Institute of Science Education & Research Bhopal ,0
Malaviya National Institute of Technology ,0
Bharathidasan University ,0
Indian Institute of Technology (Banaras Hindu University) Varanasi ,0
Indian Institute of Technology Mandi ,0
National Institute of Technology Silchar ,0
Calicut University ,0
Visvesvaraya National Institute of Technology ,0
University of Hyderabad ,0
Indian Institute of Technology Gandhinagar ,0
King George`s Medical University ,0
Vellore Institute of Technology ,0
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,0
Motilal Nehru National Institute of Technology ,0
Cochin University of Science and Technology ,0
Saveetha Institute of Medical and Technical Sciences ,0
Jadavpur University ,0
Indian Institute of Technology Indore ,0
Thapar Institute of Engineering and Technology ,0
