Institute,Total_Ratio
Osmania University ,14930.24416810384
Indian Institute of Technology Madras ,13824.888417934839
Symbiosis International ,12943.72565171632
SVKM`s Narsee Monjee Institute of Management Studies ,12634.510869565218
Shiv Nadar University ,11790.921261229523
Guru Nanak Dev University ,11316.287998198604
Indian Institute of Technology Delhi ,11226.112998522894
Indian Institute of Technology Hyderabad ,11205.956784115242
Tata Institute of Social Sciences ,10185.082062131165
"Andhra University, Visakhapatnam ",8613.130796938316
Mahatma Gandhi University ,7073.767982858892
Indian Institute of Technology Bombay ,6953.282232377787
Indian Institute of Technology Kharagpur ,6532.170715572053
Indian Institute of Technology Kanpur ,6008.674880563239
Birla Institute of Technology & Science -Pilani ,5526.9767460924695
Indian Institute of Science ,5101.854393517347
Jamia Millia Islamia ,4037.085016349298
Institute of Chemical Technology ,3962.3774264558733
Indian Institute of Technology (Indian School of Mines) ,3766.9908602150535
JSS Academy of Higher Education and Research ,3684.5616027563324
Datta Meghe Institute of Medical Sciences ,3577.0843036795527
National Institute of Technology Tiruchirappalli ,3441.3124485792036
Shanmugha Arts Science Technology & Research Academy ,3184.5203711669637
Sri Sivasubramaniya Nadar College of Engineering ,2931.56857469015
National Institute of Technology Karnataka ,2836.0992582126455
Amity University ,2754.2925907748154
Manipal Academy of Higher Education ,2610.805926507812
Savitribai Phule Pune University ,2286.038209531692
Saveetha Institute of Medical and Technical Sciences ,2147.5956673288106
Bharath Institute of Higher Education & Research ,2006.3139412384407
University of Delhi ,1622.5782706072139
Indian Institute of Technology Roorkee ,1529.1395864969045
Amrita Vishwa Vidyapeetham ,1447.7857082878495
University of Madras ,1331.2587573216952
Dr. D. Y. Patil Vidyapeeth ,1291.586630810603
Jamia Hamdard ,1289.8155352830695
Kerala University ,1207.7717486434449
Sri Ramachandra Institute of Higher Education and Research ,943.0276446940911
University of Kashmir ,809.0815273477812
Alagappa University ,694.6366405570061
Delhi Technological University ,662.6417317037256
Cochin University of Science and Technology ,438.7190792487403
Aligarh Muslim University ,419.63847723844174
Madurai Kamaraj University ,383.1095922150139
Sathyabama Institute of Science and Technology ,346.3725329396971
S.R.M. Institute of Science and Technology ,214.90922135639835
Calcutta University ,206.37980876139648
Tezpur University ,170.35907031711642
Kalinga Institute of Industrial Technology ,162.02877086161737
Siksha `O` Anusandhan ,152.13130101518388
National Institute of Technology Warangal ,143.359833181285
University of Hyderabad ,121.14951164537942
Bharathiar University ,108.00139437601673
Gauhati University ,100.0
Mysore University ,75.202518363064
Thapar Institute of Engineering and Technology ,73.65513613047482
Banasthali Vidyapith ,62.69501872769634
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,62.227074029441646
PSG College of Technology ,50.20483572977749
Banaras Hindu University ,46.23063495526947
Panjab University ,32.44355602314571
Indian Institute of Technology Guwahati ,28.81369885568453
Sri Venkateswara University ,25.56211842954286
Jawaharlal Nehru University ,12.571274298056155
Bharathidasan University ,8.440570084405701
Pondicherry University ,8.085888906917626
National Institute of Technology Durgapur ,2.8782155063860406
Indian Institute of Engineering Science and Technology ,0.0
North Eastern Hill University ,0.0
Homi Bhabha National Institute ,0.0
Indian Institute of Science Education & Research Pune ,0.0
National Institute of Technology Rourkela ,0.0
"Indian Institute of Science Education & Research, Mohali ",0.0
Indian Institute of Technology Mandi ,0.0
Vellore Institute of Technology ,0.0
Indian Institute of Technology (Banaras Hindu University) Varanasi ,0.0
Indian Institute of Science Education & Research Kolkata ,0.0
Jadavpur University ,0.0
Indian Institute of Technology Bhubaneswar ,0.0
Anna University ,0.0
Indian Institute of Technology Patna ,0.0
Indian Institute of Technology Gandhinagar ,0.0
Calicut University ,0.0
Visva Bharati ,0.0
Indian Institute of Science Education & Research Bhopal ,0.0
King George`s Medical University ,0.0
