Institute,Year (Maximum)
Alagappa University ,2018-19
Aligarh Muslim University ,2019-20
Amity University ,2019-20
Amrita Vishwa Vidyapeetham ,2017-18
"Andhra University, Visakhapatnam ",2019-20
Anna University ,2019-20
Banaras Hindu University ,2017-18
Banasthali Vidyapith ,2019-20
Bharath Institute of Higher Education & Research ,2018-19
Bharathiar University ,2018-19
Bharathidasan University ,2019-20
Birla Institute of Technology & Science -Pilani ,2017-18
Calcutta University ,2019-20
Calicut University ,2019-20
Cochin University of Science and Technology ,2019-20
Datta Meghe Institute of Medical Sciences ,2019-20
Delhi Technological University ,2017-18
Dr. D. Y. Patil Vidyapeeth ,2018-19
Gauhati University ,2019-20
Guru Nanak Dev University ,2019-20
Homi Bhabha National Institute ,2017-18
Indian Institute of Engineering Science and Technology ,2019-20
Indian Institute of Science ,2017-18
Indian Institute of Science Education & Research Bhopal ,2018-19
Indian Institute of Science Education & Research Kolkata ,2019-20
Indian Institute of Science Education & Research Pune ,2019-20
"Indian Institute of Science Education & Research, Mohali ",
Indian Institute of Technology (Banaras Hindu University) Varanasi ,2017-18
Indian Institute of Technology (Indian School of Mines) ,2017-18
Indian Institute of Technology Bhubaneswar ,2019-20
Indian Institute of Technology Bombay ,2019-20
Indian Institute of Technology Delhi ,2017-18
Indian Institute of Technology Gandhinagar ,2017-18
Indian Institute of Technology Guwahati ,2019-20
Indian Institute of Technology Hyderabad ,2018-19
Indian Institute of Technology Kanpur ,2017-18
Indian Institute of Technology Kharagpur ,2019-20
Indian Institute of Technology Madras ,2018-19
Indian Institute of Technology Mandi ,2019-20
Indian Institute of Technology Patna ,2019-20
Indian Institute of Technology Roorkee ,2017-18
Institute of Chemical Technology ,2017-18
JSS Academy of Higher Education and Research ,2017-18
Jadavpur University ,2017-18
Jamia Hamdard ,2019-20
Jamia Millia Islamia ,2017-18
Jawaharlal Nehru University ,2019-20
Kalinga Institute of Industrial Technology ,2019-20
Kerala University ,2019-20
King George`s Medical University ,2018-19
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,2018-19
Madurai Kamaraj University ,2019-20
Mahatma Gandhi University ,2018-19
Manipal Academy of Higher Education ,2018-19
Mysore University ,2019-20
National Institute of Technology Durgapur ,2019-20
National Institute of Technology Karnataka ,2018-19
National Institute of Technology Rourkela ,2019-20
National Institute of Technology Tiruchirappalli ,2018-19
National Institute of Technology Warangal ,2017-18
North Eastern Hill University ,2019-20
Osmania University ,2017-18
PSG College of Technology ,2017-18
Panjab University ,2017-18
Pondicherry University ,2018-19
S.R.M. Institute of Science and Technology ,2017-18
SVKM`s Narsee Monjee Institute of Management Studies ,2019-20
Sathyabama Institute of Science and Technology ,2018-19
Saveetha Institute of Medical and Technical Sciences ,2019-20
Savitribai Phule Pune University ,2019-20
Shanmugha Arts Science Technology & Research Academy ,2018-19
Shiv Nadar University ,2018-19
Siksha `O` Anusandhan ,2017-18
Sri Ramachandra Institute of Higher Education and Research ,2017-18
Sri Sivasubramaniya Nadar College of Engineering ,2018-19
Sri Venkateswara University ,2017-18
Symbiosis International ,2019-20
Tata Institute of Social Sciences ,2018-19
Tezpur University ,2019-20
Thapar Institute of Engineering and Technology ,2017-18
University of Delhi ,2019-20
University of Hyderabad ,2018-19
University of Kashmir ,2017-18
University of Madras ,2018-19
Vellore Institute of Technology ,2018-19
Visva Bharati ,2018-19
