Institute,ratio economic
Jamia Millia Islamia ,0.7463759712397078
University of Kashmir ,0.6700876383763837
Calcutta University ,0.6211902259590121
Bharathiar University ,0.5233423545331529
Aligarh Muslim University ,0.4940093078522626
Alagappa University ,0.4762481089258699
Mysore University ,0.46991078669910785
Dr. B. R. Ambedkar National Institute of Technology ,0.441941539286672
Jadavpur University ,0.380518889394629
Gauhati University ,0.37229965156794426
Shanmugha Arts Science Technology & Research Academy ,0.3622982438331134
Madurai Kamaraj University ,0.3476454293628809
Tezpur University ,0.33323741007194246
Motilal Nehru National Institute of Technology ,0.3187564766839378
King George`s Medical University ,0.3176517893043828
Vellore Institute of Technology ,0.30083283107774916
Indian Institute of Engineering Science and Technology ,0.2861348248454519
Indian Institute of Science Education & Research Kolkata ,0.28068303094983993
National Institute of Technology Karnataka ,0.2746028471219311
Saveetha Institute of Medical and Technical Sciences ,0.2710013269368174
National Institute of Technology Durgapur ,0.2694544447521462
Siksha `O` Anusandhan ,0.2589838909541512
Birla Institute of Technology & Science -Pilani ,0.25206893933642094
Kerala University ,0.25011775788977864
Indian Institute of Technology (Banaras Hindu University) Varanasi ,0.24936891453299675
Sri Venkateswara University ,0.2451557341753983
S.R.M. Institute of Science and Technology ,0.2377997754872946
Cochin University of Science and Technology ,0.21454788121454788
Sri Sivasubramaniya Nadar College of Engineering ,0.1962457337883959
Jamia Hamdard ,0.19411973078285513
"Andhra University, Visakhapatnam ",0.1925287356321839
Osmania University ,0.191438127090301
Lovely Professional University ,0.18169130241705259
Indian Institute of Technology Kanpur ,0.1810121906169191
Malaviya National Institute of Technology ,0.17992024395965284
Savitribai Phule Pune University ,0.17822453128529478
Indian Institute of Technology Patna ,0.1731974921630094
Chandigarh University ,0.16449810495057243
Pondicherry University ,0.1572117784062552
Indian Institute of Technology Madras ,0.15720986533514905
National Institute of Technology Warangal ,0.15599040059073288
Indian Institute of Technology Bhubaneswar ,0.15577342047930284
JSS Academy of Higher Education and Research ,0.15313554805471666
Anna University ,0.14753449072546043
Sathyabama Institute of Science and Technology ,0.14532205377334786
Indian Institute of Technology Guwahati ,0.14219866328647154
University of Madras ,0.1391304347826087
Kalasalingam Academy of Research and Higher Education ,0.1365815931941222
PSG College of Technology ,0.13017607771706133
Indian Institute of Technology Indore ,0.12818336162988114
Indian Institute of Technology Ropar ,0.12508544087491455
Indian Institute of Technology Gandhinagar ,0.11972371450498849
SVKM`s Narsee Monjee Institute of Management Studies ,0.11618013789056769
Banasthali Vidyapith ,0.11466712305322609
Guru Nanak Dev University ,0.11346863468634687
National Institute of Technology Tiruchirappalli ,0.10868377935554342
Calicut University ,0.10444964871194379
Indian Institute of Technology Kharagpur ,0.10095176986418565
National Institute of Technology Silchar ,0.09819516671765066
Sardar Vallabhbhai National Institute of Technology ,0.0954633412169426
Symbiosis International ,0.09389295516925893
Mahatma Gandhi University ,0.09146877748460862
Datta Meghe Institute of Medical Sciences ,0.08078209416002058
Indian Institute of Technology Delhi ,0.07721339833307124
Banaras Hindu University ,0.07656830173930038
Indian Institute of Technology (Indian School of Mines) ,0.06312165263963275
Amrita Vishwa Vidyapeetham ,0.06305666098161834
Amity University ,0.06248645720476707
Jawaharlal Nehru University ,0.06179775280898876
Indian Institute of Technology Mandi ,0.05420991926182238
Indian Institute of Technology Hyderabad ,0.05125284738041002
Manipal Academy of Higher Education ,0.05012157147122809
Sri Ramachandra Institute of Higher Education and Research ,0.05011862396204033
Bharath Institute of Higher Education & Research ,0.043977393147297775
Visvesvaraya National Institute of Technology ,0.04262000897263347
Mumbai University ,0.038930774503084305
Indian Institute of Science ,0.037552155771905425
Guru Gobind Singh Indraprastha University ,0.034440719292898506
Tata Institute of Social Sciences ,0.03382864369269681
Thapar Institute of Engineering and Technology ,0.03178275694106186
National Institute of Technology Rourkela ,0.02947098663737873
Institute of Chemical Technology ,0.0248246087425796
University of Hyderabad ,0.023920653442240373
Indian Institute of Science Education & Research Bhopal ,0.023450586264656615
Panjab University ,0.022315551933805553
Bharathidasan University ,0.02117202268431002
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,0.020012087838291587
University of Delhi ,0.01938468656025908
Delhi Technological University ,0.016849370686155097
Indian Institute of Technology Roorkee ,0.011547344110854504
Shiv Nadar University ,0.00921409214092141
Kalinga Institute of Industrial Technology ,0.004856333468231485
Visva Bharati ,0.00356261989586188
Dr. D. Y. Patil Vidyapeeth ,0.0020352781546811396
Indian Institute of Technology Bombay ,0.0020093770931011385
North Eastern Hill University ,0.0
Homi Bhabha National Institute ,0.0
