Institute,Percentage of students who're not from the same state
Indian Institute of Technology Roorkee ,96.12719843666726
Indian Institute of Technology Delhi ,94.16574933165592
Indian Institute of Technology Guwahati ,94.10002304678497
Indian Institute of Science Education & Research Bhopal ,93.2998324958124
Indian Institute of Technology Mandi ,92.61822376009228
Indian Institute of Technology Ropar ,92.4812030075188
Kalinga Institute of Industrial Technology ,91.71590449210846
Banasthali Vidyapith ,90.92075988362143
Indian Institute of Technology (Indian School of Mines) ,90.74215761285386
Jawaharlal Nehru University ,90.73033707865169
Indian Institute of Technology Bhubaneswar ,89.81481481481481
Indian Institute of Science ,89.49930458970793
Chandigarh University ,89.32520611104599
Lovely Professional University ,88.1558079045867
Indian Institute of Technology Gandhinagar ,86.03223330775134
Birla Institute of Technology & Science -Pilani ,85.6199225571331
Indian Institute of Technology Kharagpur ,85.21013795316009
Indian Institute of Technology Madras ,82.55409290361628
Indian Institute of Technology Indore ,82.17317487266554
Sathyabama Institute of Science and Technology ,77.32640924700561
Indian Institute of Technology Bombay ,75.32484929671801
Indian Institute of Technology Kanpur ,75.28629479128186
Vellore Institute of Technology ,74.93288039011561
Symbiosis International ,74.23947849954254
Tata Institute of Social Sciences ,74.17009168510907
Indian Institute of Technology Patna ,73.35423197492163
Shiv Nadar University ,72.84552845528455
Indian Institute of Technology (Banaras Hindu University) Varanasi ,72.70104579877389
Manipal Academy of Higher Education ,69.5730068677217
S.R.M. Institute of Science and Technology ,69.49484641289928
Pondicherry University ,69.4726335052404
Indian Institute of Technology Hyderabad ,68.73576309794989
Delhi Technological University ,68.48355663824604
Bharath Institute of Higher Education & Research ,68.31508300953726
National Institute of Technology Karnataka ,67.31999174747267
University of Hyderabad ,67.15285880980163
National Institute of Technology Tiruchirappalli ,66.37538685599854
Jamia Millia Islamia ,64.33955699872435
Panjab University ,64.28884849244656
Indian Institute of Science Education & Research Kolkata ,63.92742796157951
National Institute of Technology Warangal ,63.52224478493631
JSS Academy of Higher Education and Research ,63.51039260969977
Kalasalingam Academy of Research and Higher Education ,62.73781902552204
Amrita Vishwa Vidyapeetham ,62.64923251847641
Homi Bhabha National Institute ,62.11890243902439
Amity University ,60.65005417118093
National Institute of Technology Rourkela ,60.60772469339191
University of Delhi ,60.39324543141337
Thapar Institute of Engineering and Technology ,59.814905017048225
Sardar Vallabhbhai National Institute of Technology ,58.33154160395614
Dr. B. R. Ambedkar National Institute of Technology ,58.299812282113166
National Institute of Technology Durgapur ,57.35253392412074
Siksha `O` Anusandhan ,57.11741016109046
Jamia Hamdard ,55.63230605738576
Visvesvaraya National Institute of Technology ,53.90309555854643
Saveetha Institute of Medical and Technical Sciences ,53.73073389813208
Datta Meghe Institute of Medical Sciences ,53.43452534087986
National Institute of Technology Silchar ,53.349648210461915
SVKM`s Narsee Monjee Institute of Management Studies ,53.17588381986211
Motilal Nehru National Institute of Technology ,52.64248704663213
Malaviya National Institute of Technology ,52.052545155993435
Indian Institute of Engineering Science and Technology ,49.985281130409184
Dr. D. Y. Patil Vidyapeeth ,46.336499321573946
Sri Ramachandra Institute of Higher Education and Research ,44.91399762752076
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,40.19877778523941
Banaras Hindu University ,35.55208129763533
Shanmugha Arts Science Technology & Research Academy ,35.24515277636788
Aligarh Muslim University ,30.938706802653726
North Eastern Hill University ,29.179810725552052
Institute of Chemical Technology ,24.392876416621693
Guru Gobind Singh Indraprastha University ,20.51203901249619
King George`s Medical University ,19.983916365098512
University of Madras ,19.388083735909824
Tezpur University ,17.294964028776977
Gauhati University ,17.195121951219512
Calcutta University ,15.882816605359958
Savitribai Phule Pune University ,14.411565394172126
Sri Sivasubramaniya Nadar College of Engineering ,13.066796684544125
Guru Nanak Dev University ,12.751127511275113
Bharathiar University ,12.483085250338295
Mumbai University ,10.733379026730637
Visva Bharati ,10.578240613866813
Jadavpur University ,10.29585798816568
Madurai Kamaraj University ,9.556786703601109
Sri Venkateswara University ,7.4063441940577
Mysore University ,5.888077858880779
PSG College of Technology ,5.6587735276259865
Kerala University ,5.463966085727744
"Andhra University, Visakhapatnam ",5.338196286472148
Bharathidasan University ,4.612476370510397
Cochin University of Science and Technology ,4.3043043043043046
Anna University ,3.0365040596739057
Mahatma Gandhi University ,2.1108179419525066
Alagappa University ,1.361573373676248
Calicut University ,1.3114754098360655
Osmania University ,0.7357859531772575
University of Kashmir ,0.0
