Institute,ratio social
Bharathidasan University ,0.9788279773156899
Bharath Institute of Higher Education & Research ,0.884434239962322
PSG College of Technology ,0.8698239222829387
North Eastern Hill University ,0.796267087276551
Sri Venkateswara University ,0.7516865221759724
University of Madras ,0.7446054750402576
Anna University ,0.7263845798402535
Kalasalingam Academy of Research and Higher Education ,0.6994586233565352
Calicut University ,0.6941451990632318
Pondicherry University ,0.6521377474629845
Osmania University ,0.6232775919732442
University of Hyderabad ,0.6137689614935823
Madurai Kamaraj University ,0.5955678670360111
Cochin University of Science and Technology ,0.5762429095762429
King George`s Medical University ,0.5560916767189384
Jawaharlal Nehru University ,0.5538389513108615
Sathyabama Institute of Science and Technology ,0.5446854845464444
Visvesvaraya National Institute of Technology ,0.525347689546882
Indian Institute of Science Education & Research Bhopal ,0.5234505862646566
Saveetha Institute of Medical and Technical Sciences ,0.5187302235378177
Malaviya National Institute of Technology ,0.5141918836500118
National Institute of Technology Durgapur ,0.513431182497923
National Institute of Technology Rourkela ,0.5125388980413692
"Andhra University, Visakhapatnam ",0.5075154730327144
Indian Institute of Technology (Indian School of Mines) ,0.5070772762050497
Tata Institute of Social Sciences ,0.505216566550743
Mumbai University ,0.5051405071967101
Dr. B. R. Ambedkar National Institute of Technology ,0.5046929471708232
Indian Institute of Technology Indore ,0.50169779286927
Banaras Hindu University ,0.5005667383232363
Indian Institute of Technology Guwahati ,0.4998847660751325
Indian Institute of Technology Bhubaneswar ,0.4989106753812636
Indian Institute of Technology Ropar ,0.49624060150375937
Alagappa University ,0.4953101361573374
National Institute of Technology Tiruchirappalli ,0.493537229200801
Indian Institute of Engineering Science and Technology ,0.4921989991168678
Indian Institute of Technology Patna ,0.48510971786833856
Indian Institute of Technology Hyderabad ,0.484624145785877
Indian Institute of Technology Roorkee ,0.48410019541659266
Indian Institute of Technology Bombay ,0.4826523777628935
Bharathiar University ,0.4749661705006766
National Institute of Technology Silchar ,0.47353930865708166
Motilal Nehru National Institute of Technology ,0.4681865284974093
Sardar Vallabhbhai National Institute of Technology ,0.4659213072457536
Indian Institute of Technology Delhi ,0.4635949048592546
Indian Institute of Technology Gandhinagar ,0.46277820414428245
Indian Institute of Technology Madras ,0.46209714026327736
Indian Institute of Technology Kharagpur ,0.4589883434926746
Indian Institute of Technology Kanpur ,0.4577022534170669
National Institute of Technology Warangal ,0.45375669189588336
Datta Meghe Institute of Medical Sciences ,0.4479032673012606
Indian Institute of Technology (Banaras Hindu University) Varanasi ,0.4439235485034259
Indian Institute of Science Education & Research Kolkata ,0.4375667022411953
National Institute of Technology Karnataka ,0.4359397565504436
Visva Bharati ,0.4309399835571389
Tezpur University ,0.42848920863309353
University of Delhi ,0.42845246356696737
Delhi Technological University ,0.4169711733658141
Kerala University ,0.413094677343382
Indian Institute of Science ,0.4095966620305981
Savitribai Phule Pune University ,0.4036593629997741
Indian Institute of Technology Mandi ,0.4031141868512111
Homi Bhabha National Institute ,0.3902439024390244
Mahatma Gandhi University ,0.3843447669305189
Calcutta University ,0.3788097740409879
Jadavpur University ,0.3785161583978152
Mysore University ,0.3759935117599351
JSS Academy of Higher Education and Research ,0.3680937999644697
Aligarh Muslim University ,0.3672145757005644
Amrita Vishwa Vidyapeetham ,0.3653591055523972
Siksha `O` Anusandhan ,0.34820322180916974
Gauhati University ,0.3407665505226481
Institute of Chemical Technology ,0.33351322180248244
University of Kashmir ,0.32991236162361626
Vellore Institute of Technology ,0.3191605939400581
Sri Sivasubramaniya Nadar College of Engineering ,0.30351048269137004
Sri Ramachandra Institute of Higher Education and Research ,0.29819098457888493
S.R.M. Institute of Science and Technology ,0.2930094907643637
Kalinga Institute of Industrial Technology ,0.2864022662889518
Dr. D. Y. Patil Vidyapeeth ,0.25169606512890097
Guru Gobind Singh Indraprastha University ,0.24992380371837855
Panjab University ,0.24572180781044317
Guru Nanak Dev University ,0.228679786797868
Jamia Hamdard ,0.21431101664895502
Amity University ,0.14840195016251354
Chandigarh University ,0.14531317157035126
Shanmugha Arts Science Technology & Research Academy ,0.13785402497208404
Lovely Professional University ,0.12329505804732602
Symbiosis International ,0.11928179322964319
Banasthali Vidyapith ,0.10140338867020367
Jamia Millia Islamia ,0.10100892960686536
Shiv Nadar University ,0.07425474254742548
Thapar Institute of Engineering and Technology ,0.05662445202143205
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,0.05365657108320462
SVKM`s Narsee Monjee Institute of Management Studies ,0.0460613172949978
Manipal Academy of Higher Education ,0.04099304696497889
Birla Institute of Technology & Science -Pilani ,0.02945865917546124
