Institute,Programs,Vacancies-Percent
Tezpur University ,PG [1 Years Program(s)],58.73015873015873
Banasthali Vidyapith ,PG [1 Years Program(s)],53.333333333333336
Visva Bharati ,PG [1 Years Program(s)],46.05263157894737
Aligarh Muslim University ,PG [1 Years Program(s)],43.333333333333336
Indian Institute of Technology Indore ,PG [2 Years Program(s)],34.04255319148936
Mysore University ,PG [1 Years Program(s)],31.666666666666668
Amrita Vishwa Vidyapeetham ,PG [1 Years Program(s)],26.74418604651163
Madurai Kamaraj University ,PG [1 Years Program(s)],26.666666666666668
Sri Sivasubramaniya Nadar College of Engineering ,PG [2 Years Program(s)],23.333333333333332
Calicut University ,PG [1 Years Program(s)],22.625698324022345
Indian Institute of Technology Mandi ,UG [5 Years Program(s)],20.833333333333332
Panjab University ,PG [1 Years Program(s)],19.083969465648856
Chandigarh University ,PG [6 Years Program(s)],13.333333333333334
Cochin University of Science and Technology ,PG [1 Years Program(s)],13.333333333333334
Lovely Professional University ,PG [1 Years Program(s)],12.5
Indian Institute of Technology Kharagpur ,PG [6 Years Program(s)],8.333333333333334
Siksha `O` Anusandhan ,PG-Integrated,6.666666666666667
Jamia Hamdard ,PG-Integrated,6.666666666666667
Banasthali Vidyapith ,PG [3 Years Program(s)],6.666666666666667
Tata Institute of Social Sciences ,PG [1 Years Program(s)],5.128205128205129
University of Delhi ,PG [1 Years Program(s)],5.0
Alagappa University ,PG [1 Years Program(s)],4.615384615384615
Symbiosis International ,PG [1 Years Program(s)],4.545454545454546
Mahatma Gandhi University ,PG [1 Years Program(s)],3.361344537815126
Mumbai University ,PG [1 Years Program(s)],1.951219512195122
Homi Bhabha National Institute ,PG [1 Years Program(s)],1.2820512820512822
Amity University ,PG [1 Years Program(s)],0.26666666666666666
