Institute,Total_Earnings
Symbiosis International ,639523597
Osmania University ,328973000
Guru Nanak Dev University ,301533810
Amity University ,297427794
Indian Institute of Technology Madras ,270718965
SVKM`s Narsee Monjee Institute of Management Studies ,255722500
"Andhra University, Visakhapatnam ",229557162
Birla Institute of Technology & Science -Pilani ,202265241
Indian Institute of Technology Delhi ,197602041
Manipal Academy of Higher Education ,179472021
Indian Institute of Technology Kharagpur ,177733833
Indian Institute of Technology Bombay ,150628953
Jamia Millia Islamia ,104944025
Shanmugha Arts Science Technology & Research Academy ,103643400
University of Delhi ,103600000
Lovely Professional University ,96480000
Indian Institute of Technology Kanpur ,95586000
Tata Institute of Social Sciences ,91472222
Amrita Vishwa Vidyapeetham ,86208400
Bharath Institute of Higher Education & Research ,85699700
Chandigarh University ,71483400
Guru Gobind Singh Indraprastha University ,70428500
Shiv Nadar University ,66937060
Indian Institute of Technology (Indian School of Mines) ,63059427
Kalasalingam Academy of Research and Higher Education ,59971300
Mumbai University ,59006320
JSS Academy of Higher Education and Research ,57748134
Indian Institute of Technology Hyderabad ,57565000
Saveetha Institute of Medical and Technical Sciences ,57300000
National Institute of Technology Tiruchirappalli ,54376178
National Institute of Technology Karnataka ,40144985
Datta Meghe Institute of Medical Sciences ,38400000
Sri Sivasubramaniya Nadar College of Engineering ,35952757
Savitribai Phule Pune University ,33145268
S.R.M. Institute of Science and Technology ,32350500
Gujarat University ,31239471
Indian Institute of Technology Roorkee ,26181928
Aligarh Muslim University ,23644530
Mahatma Gandhi University ,23110000
Indian Institute of Science ,20147223
Institute of Chemical Technology ,19800000
University of Kashmir ,19600000
Jamia Hamdard ,19228570
Delhi Technological University ,18000000
Sri Ramachandra Institute of Higher Education and Research ,17124439
Dr. D. Y. Patil Vidyapeeth ,16810000
Sathyabama Institute of Science and Technology ,12671000
Kalinga Institute of Industrial Technology ,11815300
University of Madras ,11591270
Calcutta University ,9280900
Kerala University ,6900000
Alagappa University ,6385100
Dr. B. R. Ambedkar National Institute of Technology ,6201000
Siksha `O` Anusandhan ,5200000
Cochin University of Science and Technology ,3830895
Banaras Hindu University ,3390000
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,2633512
National Institute of Technology Warangal ,2200000
Banasthali Vidyapith ,2125800
Mysore University ,1791700
Tezpur University ,1729826
Thapar Institute of Engineering and Technology ,1680000
Gauhati University ,1665000
Madurai Kamaraj University ,1653501
Panjab University ,1541880
University of Hyderabad ,1290000
PSG College of Technology ,1250000
Bharathiar University ,929460
Sardar Vallabhbhai National Institute of Technology ,673277
Sri Venkateswara University ,515000
Indian Institute of Technology Guwahati ,350000
Pondicherry University ,149500
Jawaharlal Nehru University ,139692
Bharathidasan University ,61000
Motilal Nehru National Institute of Technology ,35000
National Institute of Technology Durgapur ,32000
Anna University ,0
Indian Institute of Science Education & Research Pune ,0
Homi Bhabha National Institute ,0
Indian Institute of Engineering Science and Technology ,0
Indian Institute of Science Education & Research Kolkata ,0
National Institute of Technology Rourkela ,0
North Eastern Hill University ,0
"Indian Institute of Science Education & Research, Mohali ",0
Indian Institute of Technology Ropar ,0
Indian Institute of Technology Gandhinagar ,0
King George`s Medical University ,0
Indian Institute of Technology Patna ,0
Jadavpur University ,0
Indian Institute of Technology Bhubaneswar ,0
Indian Institute of Science Education & Research Bhopal ,0
Malaviya National Institute of Technology ,0
Indian Institute of Technology (Banaras Hindu University) Varanasi ,0
Indian Institute of Technology Mandi ,0
National Institute of Technology Silchar ,0
Visva Bharati ,0
Vellore Institute of Technology ,0
Visvesvaraya National Institute of Technology ,0
Calicut University ,0
Indian Institute of Technology Indore ,0
