Institute,Maximum Course,Maximum Number,Minimum Course,Minimum Number
Visvesvaraya National Institute of Technology ,UG [4 Years Program(s)],3347,UG [5 Years Program(s)],337
Visva Bharati ,UG [3 Years Program(s)],4095,PG [1 Year Program(s)],76
Vellore Institute of Technology ,UG [4 Years Program(s)],27966,UG [5 Years Program(s)],1500
University of Madras ,PG [2 Year Program(s)],3531,PG [3 Year Program(s)],182
University of Kashmir ,PG [2 Year Program(s)],5782,UG [3 Years Program(s)],195
University of Hyderabad ,PG [2 Year Program(s)],2732,PG [3 Year Program(s)],233
University of Delhi ,PG [2 Year Program(s)],16250,PG [1 Year Program(s)],120
Thapar Institute of Engineering and Technology ,UG [4 Years Program(s)],7235,PG [3 Year Program(s)],210
Tezpur University ,PG [2 Year Program(s)],1427,UG [3 Years Program(s)],50
Tata Institute of Social Sciences ,PG [2 Year Program(s)],2858,PG [1 Year Program(s)],39
Symbiosis International ,PG [2 Year Program(s)],5906,PG [1 Year Program(s)],110
Sri Venkateswara University ,PG [2 Year Program(s)],4856,UG [5 Years Program(s)],200
Sri Sivasubramaniya Nadar College of Engineering ,UG [4 Years Program(s)],3420,PG [2 Year Program(s)],396
Sri Ramachandra Institute of Higher Education and Research ,UG [4 Years Program(s)],3280,UG [6 Years Program(s)],0
Siksha `O` Anusandhan ,UG [4 Years Program(s)],9240,PG [1 Year Program(s)],24
Shiv Nadar University ,UG [4 Years Program(s)],2094,PG [2 Year Program(s)],272
Shanmugha Arts Science Technology & Research Academy ,UG [4 Years Program(s)],7760,UG [3 Years Program(s)],360
Savitribai Phule Pune University ,PG [2 Year Program(s)],4848,PG [1 Year Program(s)],120
Saveetha Institute of Medical and Technical Sciences ,UG [4 Years Program(s)],7310,PG [1 Year Program(s)],30
Sathyabama Institute of Science and Technology ,UG [4 Years Program(s)],11358,PG [3 Year Program(s)],14
Sardar Vallabhbhai National Institute of Technology ,UG [4 Years Program(s)],3390,PG [2 Year Program(s)],891
SVKM`s Narsee Monjee Institute of Management Studies ,PG-Integrated,1898,PG [3 Year Program(s)],171
S.R.M. Institute of Science and Technology ,UG [4 Years Program(s)],38265,PG [6 Years Program(s)],180
Pondicherry University ,PG [2 Year Program(s)],5085,PG [3 Year Program(s)],313
Panjab University ,PG [2 Year Program(s)],7891,PG [1 Year Program(s)],393
PSG College of Technology ,UG [4 Years Program(s)],4560,PG [3 Year Program(s)],180
Osmania University ,PG [2 Year Program(s)],5058,PG [3 Year Program(s)],180
North Eastern Hill University ,PG [2 Year Program(s)],2812,PG [3 Year Program(s)],62
National Institute of Technology Warangal ,UG [4 Years Program(s)],3421,PG [3 Year Program(s)],306
National Institute of Technology Tiruchirappalli ,UG [4 Years Program(s)],3268,UG [5 Years Program(s)],251
National Institute of Technology Silchar ,UG [4 Years Program(s)],2749,PG [2 Year Program(s)],878
National Institute of Technology Rourkela ,UG [4 Years Program(s)],2994,UG [5 Years Program(s)],105
National Institute of Technology Karnataka ,UG [4 Years Program(s)],2960,PG [3 Year Program(s)],279
National Institute of Technology Durgapur ,UG [4 Years Program(s)],2905,UG [5 Years Program(s)],30
Mysore University ,PG [2 Year Program(s)],5500,PG [1 Year Program(s)],120
Mumbai University ,PG [2 Year Program(s)],5560,PG-Integrated,295
Motilal Nehru National Institute of Technology ,UG [4 Years Program(s)],3758,PG [3 Year Program(s)],289
Manipal Academy of Higher Education ,UG [4 Years Program(s)],12606,PG [1 Year Program(s)],27
Malaviya National Institute of Technology ,UG [4 Years Program(s)],3078,UG [5 Years Program(s)],355
Mahatma Gandhi University ,PG [2 Year Program(s)],866,PG [1 Year Program(s)],119
Madurai Kamaraj University ,PG [2 Year Program(s)],1416,PG [1 Year Program(s)],15
Lovely Professional University ,UG [4 Years Program(s)],21900,PG [1 Year Program(s)],40
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,UG [4 Years Program(s)],13580,PG [2 Year Program(s)],1572
King George`s Medical University ,UG [5 Years Program(s)],1600,PG [2 Year Program(s)],40
Kerala University ,PG [2 Year Program(s)],1782,PG [1 Year Program(s)],331
Kalinga Institute of Industrial Technology ,UG [4 Years Program(s)],14640,PG [1 Year Program(s)],59
Kalasalingam Academy of Research and Higher Education ,UG [4 Years Program(s)],5070,UG [5 Years Program(s)],240
Jawaharlal Nehru University ,PG [2 Year Program(s)],2553,PG [3 Year Program(s)],138
Jamia Millia Islamia ,UG [3 Years Program(s)],2999,PG [3 Year Program(s)],150
Jamia Hamdard ,UG [4 Years Program(s)],2582,PG-Integrated,60
Jadavpur University ,UG [4 Years Program(s)],4688,PG [3 Year Program(s)],553
JSS Academy of Higher Education and Research ,UG [5 Years Program(s)],1450,PG [6 Years Program(s)],360
Institute of Chemical Technology ,UG [4 Years Program(s)],964,PG-Integrated,240
Indian Institute of Technology Ropar ,UG [4 Years Program(s)],1032,PG [3 Year Program(s)],15
Indian Institute of Technology Roorkee ,UG [4 Years Program(s)],3498,UG [5 Years Program(s)],167
Indian Institute of Technology Patna ,UG [4 Years Program(s)],1036,PG [2 Year Program(s)],462
Indian Institute of Technology Mandi ,UG [4 Years Program(s)],758,UG [5 Years Program(s)],24
Indian Institute of Technology Madras ,UG [4 Years Program(s)],2182,PG-Integrated,230
Indian Institute of Technology Kharagpur ,PG [2 Year Program(s)],4181,PG [6 Years Program(s)],12
Indian Institute of Technology Kanpur ,UG [4 Years Program(s)],3471,PG [2 Year Program(s)],2083
Indian Institute of Technology Indore ,UG [4 Years Program(s)],1089,PG [2 Year Program(s)],356
Indian Institute of Technology Hyderabad ,UG [4 Years Program(s)],1127,PG [3 Year Program(s)],120
Indian Institute of Technology Guwahati ,UG [4 Years Program(s)],2948,PG [2 Year Program(s)],1542
Indian Institute of Technology Gandhinagar ,UG [4 Years Program(s)],747,PG [2 Year Program(s)],610
Indian Institute of Technology Delhi ,UG [4 Years Program(s)],3234,UG [5 Years Program(s)],538
Indian Institute of Technology Bombay ,UG [4 Years Program(s)],3295,PG-Integrated,258
Indian Institute of Technology Bhubaneswar ,UG [4 Years Program(s)],1030,UG [5 Years Program(s)],319
Indian Institute of Technology (Indian School of Mines) ,UG [4 Years Program(s)],3428,PG [3 Year Program(s)],310
Indian Institute of Technology (Banaras Hindu University) Varanasi ,UG [4 Years Program(s)],3518,PG [2 Year Program(s)],1017
Indian Institute of Science Education & Research Kolkata ,UG [5 Years Program(s)],1030,PG [2 Year Program(s)],3
Indian Institute of Science Education & Research Bhopal ,UG [5 Years Program(s)],1135,UG [4 Years Program(s)],140
Indian Institute of Science ,PG [2 Year Program(s)],912,PG [3 Year Program(s)],187
Indian Institute of Engineering Science and Technology ,UG [4 Years Program(s)],2424,PG-Integrated,109
Homi Bhabha National Institute ,PG-Integrated,1000,PG [1 Year Program(s)],78
Guru Nanak Dev University ,PG [2 Year Program(s)],4251,PG [3 Year Program(s)],180
Guru Gobind Singh Indraprastha University ,PG [2 Year Program(s)],1224,PG [1 Year Program(s)],57
Gauhati University ,PG [2 Year Program(s)],3980,PG [3 Year Program(s)],30
Dr. D. Y. Patil Vidyapeeth ,UG [5 Years Program(s)],1750,PG-Integrated,150
Dr. B. R. Ambedkar National Institute of Technology ,UG [4 Years Program(s)],3512,PG [2 Year Program(s)],624
Delhi Technological University ,UG [4 Years Program(s)],8642,UG [3 Years Program(s)],744
Datta Meghe Institute of Medical Sciences ,UG [5 Years Program(s)],1850,PG [2 Year Program(s)],283
Cochin University of Science and Technology ,PG [2 Year Program(s)],1543,PG [1 Year Program(s)],45
Chandigarh University ,UG [4 Years Program(s)],14200,PG [6 Years Program(s)],30
Calicut University ,PG [2 Year Program(s)],1826,PG [3 Year Program(s)],36
Calcutta University ,PG [2 Year Program(s)],12240,PG-Integrated,208
Birla Institute of Technology & Science -Pilani ,UG [4 Years Program(s)],11118,PG [2 Year Program(s)],1526
Bharathidasan University ,PG [2 Year Program(s)],1480,PG [3 Year Program(s)],120
Bharathiar University ,PG [2 Year Program(s)],2580,PG [3 Year Program(s)],45
Bharath Institute of Higher Education & Research ,UG [4 Years Program(s)],12600,PG [3 Year Program(s)],513
Banasthali Vidyapith ,UG [4 Years Program(s)],4510,PG [1 Year Program(s)],15
Banaras Hindu University ,UG [3 Years Program(s)],12194,UG [5 Years Program(s)],744
Anna University ,UG [4 Years Program(s)],10690,PG [3 Year Program(s)],360
"Andhra University, Visakhapatnam ",PG [2 Year Program(s)],6024,PG [3 Year Program(s)],30
Amrita Vishwa Vidyapeetham ,UG [4 Years Program(s)],10107,PG [1 Year Program(s)],86
Amity University ,UG [3 Years Program(s)],13800,PG [3 Year Program(s)],100
Aligarh Muslim University ,UG [3 Years Program(s)],9383,PG [1 Year Program(s)],390
Alagappa University ,PG [2 Year Program(s)],2455,UG [4 Years Program(s)],104
