Institute,Total
S.R.M. Institute of Science and Technology ,59147.0
Vellore Institute of Technology ,41545.0
Amity University ,40430.0
Lovely Professional University ,32790.0
Chandigarh University ,26501.0
University of Delhi ,25630.0
Manipal Academy of Higher Education ,25566.0
Banaras Hindu University ,24783.0
Kalinga Institute of Industrial Technology ,24169.0
Amrita Vishwa Vidyapeetham ,21997.0
Panjab University ,21768.0
Bharath Institute of Higher Education & Research ,19907.0
Aligarh Muslim University ,19779.0
Symbiosis International ,16838.0
Calcutta University ,16421.0
Anna University ,16208.0
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,15152.0
Sathyabama Institute of Science and Technology ,14734.0
Siksha `O` Anusandhan ,13185.0
Birla Institute of Technology & Science -Pilani ,12644.0
Jadavpur University ,12035.0
Guru Nanak Dev University ,11901.0
Banasthali Vidyapith ,11394.0
Delhi Technological University ,10702.0
Indian Institute of Technology Kharagpur ,10698.0
Saveetha Institute of Medical and Technical Sciences ,10140.0
Shanmugha Arts Science Technology & Research Academy ,10110.0
"Andhra University, Visakhapatnam ",9075.0
Thapar Institute of Engineering and Technology ,9060.0
Visva Bharati ,8786.0
University of Kashmir ,8672.0
Jamia Millia Islamia ,8602.0
PSG College of Technology ,8285.0
Pondicherry University ,7980.0
Sri Venkateswara University ,7814.0
Mumbai University ,7668.0
Osmania University ,7398.0
Sri Ramachandra Institute of Higher Education and Research ,7303.0
Kalasalingam Academy of Research and Higher Education ,7301.0
SVKM`s Narsee Monjee Institute of Management Studies ,7009.0
Indian Institute of Technology Bombay ,6853.0
Indian Institute of Technology (Indian School of Mines) ,6261.0
Indian Institute of Technology Delhi ,6216.0
Jamia Hamdard ,6178.0
Indian Institute of Technology Madras ,6126.0
Mysore University ,6114.0
National Institute of Technology Rourkela ,6039.0
Indian Institute of Technology (Banaras Hindu University) Varanasi ,5985.0
Indian Institute of Technology Roorkee ,5868.0
Savitribai Phule Pune University ,5762.0
Gauhati University ,5740.0
JSS Academy of Higher Education and Research ,5619.0
Indian Institute of Technology Kanpur ,5554.0
National Institute of Technology Tiruchirappalli ,5402.0
National Institute of Technology Warangal ,5318.0
Malaviya National Institute of Technology ,5292.0
Motilal Nehru National Institute of Technology ,5229.0
Sardar Vallabhbhai National Institute of Technology ,5203.0
Dr. D. Y. Patil Vidyapeeth ,4779.0
Visvesvaraya National Institute of Technology ,4734.0
National Institute of Technology Karnataka ,4633.0
Indian Institute of Technology Guwahati ,4490.0
North Eastern Hill University ,4368.0
Jawaharlal Nehru University ,4199.0
Dr. B. R. Ambedkar National Institute of Technology ,4136.0
University of Hyderabad ,4079.0
Datta Meghe Institute of Medical Sciences ,3972.0
National Institute of Technology Durgapur ,3927.0
Sri Sivasubramaniya Nadar College of Engineering ,3816.0
Indian Institute of Engineering Science and Technology ,3788.0
Tezpur University ,3756.0
University of Madras ,3713.0
Alagappa University ,3659.0
National Institute of Technology Silchar ,3627.0
Bharathidasan University ,3625.0
Guru Gobind Singh Indraprastha University ,3541.0
Tata Institute of Social Sciences ,3378.0
Bharathiar University ,3105.0
Cochin University of Science and Technology ,3032.0
King George`s Medical University ,2567.0
Calicut University ,2385.0
Shiv Nadar University ,2366.0
Kerala University ,2113.0
Indian Institute of Technology Mandi ,1974.0
Indian Institute of Technology Bhubaneswar ,1967.0
Institute of Chemical Technology ,1944.0
Madurai Kamaraj University ,1866.0
Indian Institute of Technology Hyderabad ,1807.0
Homi Bhabha National Institute ,1665.0
Indian Institute of Science ,1579.0
Indian Institute of Technology Ropar ,1516.0
Indian Institute of Technology Patna ,1498.0
Indian Institute of Technology Indore ,1445.0
Indian Institute of Technology Gandhinagar ,1357.0
Indian Institute of Science Education & Research Bhopal ,1275.0
Mahatma Gandhi University ,1215.0
Indian Institute of Science Education & Research Kolkata ,1033.0
